book_id,title,author,subjects,bookshelves,genre,char_count,word_count,source_url,sent_neg,sent_neu,sent_pos,sent_compound
62,A PRINCESS OF MARS,"BURROUGHS, EDGAR RICE","SCIENCE FICTION
MARS (PLANET) -- FICTION
DEJAH THORIS (FICTITIOUS CHARACTER) -- FICTION
PRINCESSES -- FICTION
PS
CARTER, JOHN (FICTITIOUS CHARACTER) -- FICTION","SCIENCE FICTION
BEST BOOKS EVER LISTINGS",science fiction,378163,67436,https://www.gutenberg.org/ebooks/62,0.07895644028103045,0.8349180327868853,0.08611709601873536,0.03717990632318501
64,THE GODS OF MARS,"BURROUGHS, EDGAR RICE","PS
LIFE ON OTHER PLANETS -- FICTION
DEJAH THORIS (FICTITIOUS CHARACTER) -- FICTION
SCIENCE FICTION
CARTER, JOHN (FICTITIOUS CHARACTER) -- FICTION
MARS (PLANET) -- FICTION",SCIENCE FICTION,science fiction,459695,82741,https://www.gutenberg.org/ebooks/64,0.08902951096121417,0.8290452501405283,0.07517369308600337,-0.023787942664418214
68,WARLORD OF MARS,"BURROUGHS, EDGAR RICE","CARTER, JOHN (FICTITIOUS CHARACTER) -- FICTION
MARS (PLANET) -- FICTION
DEJAH THORIS (FICTITIOUS CHARACTER) -- FICTION
SCIENCE FICTION
PS",SCIENCE FICTION,science fiction,317806,57134,https://www.gutenberg.org/ebooks/68,0.08438818778394751,0.8399207470974256,0.07568803634528015,-0.009353659767794042
72,"THUVIA, MAID OF MARS","BURROUGHS, EDGAR RICE","SCIENCE FICTION
PS
MARS (PLANET) -- FICTION
MARTIANS -- FICTION",SCIENCE FICTION,science fiction,272243,47143,https://www.gutenberg.org/ebooks/72,0.07583121732636296,0.8557535474234503,0.0657972367438387,-0.006793689320388348
83,"FROM THE EARTH TO THE MOON; AND, ROUND THE MOON","VERNE, JULES","MOON -- FICTION
PQ
MANNED SPACE FLIGHT -- FICTION
SCIENCE FICTION
SPACE FLIGHT TO THE MOON -- FICTION
SPACE SHIPS -- FICTION","SCIENCE FICTION
MOVIE BOOKS",science fiction,556261,91500,https://www.gutenberg.org/ebooks/83,0.05754009546539379,0.8585854415274463,0.078627446300716,0.07770305489260143
96,THE MONSTER MEN,"BURROUGHS, EDGAR RICE","FANTASY FICTION
SCIENCE FICTION
PS",SCIENCE FICTION,science fiction,326397,57654,https://www.gutenberg.org/ebooks/96,0.09715357766143105,0.8265593368237347,0.07629144851657942,-0.05520213787085515
123,AT THE EARTH'S CORE,"BURROUGHS, EDGAR RICE","FANTASY FICTION
PS
ADVENTURE STORIES
SCIENCE FICTION
EARTH (PLANET) -- CORE -- FICTION",SCIENCE FICTION,science fiction,273488,49516,https://www.gutenberg.org/ebooks/123,0.07758080556936847,0.8440009945300846,0.07842516161113873,0.009609547488811538
149,THE LOST CONTINENT,"BURROUGHS, EDGAR RICE","PS
SCIENCE FICTION
ENGLAND -- FICTION
FANTASY FICTION",SCIENCE FICTION,science fiction,213436,37837,https://www.gutenberg.org/ebooks/149,0.08522905982905983,0.8411846153846154,0.07359088319088318,-0.005511111111111111
164,TWENTY THOUSAND LEAGUES UNDER THE SEA,"VERNE, JULES","PQ
UNDERWATER EXPLORATION -- FICTION
SUBMARINES (SHIPS) -- FICTION
SEA STORIES
SCIENCE FICTION",SCIENCE FICTION,science fiction,610261,104672,https://www.gutenberg.org/ebooks/164,0.06610800296406076,0.8632828825490922,0.06949481289366431,0.032770544646165245
369,THE OUTLAW OF TORN,"BURROUGHS, EDGAR RICE","OUTLAWS -- FICTION
PS
HISTORICAL FICTION
GREAT BRITAIN -- HISTORY -- HENRY III, 1216-1272 -- FICTION",SCIENCE FICTION,science fiction,362876,65387,https://www.gutenberg.org/ebooks/369,0.10133130962705984,0.813346487424111,0.085316565481353,-0.02196387684301821
